company,employees,country,category
Lockeed Martin,105000,U.S.,us
Raytheon Company,67000,U.S.,us
BAE Systems,85800,U.K.,eu
Northrop Grumman,85000,U.S.,us
Boeing (Defense Space & Security 36742),153027,U.S.,us
General Dynamics,98600,U.S.,us
Airbus,130000,Netherlands/France,eu
Thales,66000,France,eu
Leonardo,41488,Italy,eu
L3 Technologies,31000,U.S.,us
Naval Group,14670,France,eu
Harris Corporation,17500,U.S.,us
Textron Inc.,35000,U.S.,us
Rheinmetall Defence (Group 24 950),12000,Germany,eu
Elbit Systems Ltd.,12500,Israel,other
Saab,16500,Sweden,eu
Russian Helicopters,46000,Russia,other
Hindustan Aeronautics,32100,India,other
Rafael Advanced Defense Systems,7500,Israel,other
Dassault,11400,France,eu
Cobham,11500,U.K.,eu
Safran,92000,France,eu
Aselsan,6000,Turkey,eu
Turkish Aerospace Industries,5000,Turkey,eu
Ruag,9127,Switzerland,eu
Curtiss-Wright,8000,U.S.,us
Kongsberg gruppen,6900,Norway,nor
Indra,43000,Spain,eu
Patria,2800,Finland,eu
Nammo,2400,Norway,nor
FLIR,3000,U.S.,us
AIM Norway,476,Norway,nor
Airbus Defence and Space AS,39,Norway,nor
Aircontact Group AS,9,Norway,nor
ALFA Solution AS,6,Norway,nor
Andøya Test Center AS,8,Norway,nor
Applica AS,13,Norway,nor
AutoSim AS,6,Norway,nor
Axnes AS,13,Norway,nor
BAE Systems Hägglunds AB,1,Norway,nor
Bandakt NCT AS,31,Norway,nor
Benestad Solutions AS,43,Norway,nor
Bergen Group Services AS,138,Norway,nor
Berget AS,97,Norway,nor
Bertel O. Steen Defence & Security AS,15,Norway,nor
Blue Water Shipping AS,48,Norway,nor
Bredengen as,15,Norway,nor
BRI Management AS,9,Norway,nor
Chemring Nobel AS,117,Norway,nor
CHSnor AS,18,Norway,nor
ComPower AS,21,Norway,nor
Comrod AS,86,Norway,nor
Conrad Mohr AS,1,Norway,nor
Dacon AS,27,Norway,nor
Data Respons Norge AS,124,Norway,nor
DNV GL AS,2 024,Norway,nor
Drytech AS,47,Norway,nor
DSG Technology AS,6,Norway,nor
dspnor as,15,Norway,nor
Eidsvoll Electronics AS,16,Norway,nor
Eker Group AS,7,Norway,nor
Electronicon AS,12,Norway,nor
Elmatica AS,40,Norway,nor
Embron Group AS,4,Norway,nor
Fieldmade AS,3,Norway,nor
First House AS,41,Norway,nor
Fjord Defence AS,3,Norway,nor
Flatirons Norge AS,8,Norway,nor
FLIR Unmanned Aerial Systems AS,109,Norway,nor
Fosen Innovasjon AS,12,Norway,nor
Fosstech AS,41,Norway,nor
Frequentis Norway AS,4,Norway,nor
Frisch AS,2,Norway,nor
Frydenbø Milpro AS,2,Norway,nor
Galleon Embedded Computing AS,25,Norway,nor
GKN Aerospace norway AS,513,Norway,nor
Goldfish Boat AS,10,Norway,nor
Gylling Teknikk AS,23,Norway,nor
H. Henriksen AS,40,Norway,nor
Hapro Electronics AS,241,Norway,nor
Heli-One (Norway) AS,368,Norway,nor
Hiddn Security AS,17,Norway,nor
HTS maskinteknikk,76,Norway,nor
IKM Haaland,95,Norway,nor
Indra Navia AS,183,Norway,nor
ISPAS AS,9,Norway,nor
Jak. J. Alveberg AS,5,Norway,nor
Janusfabrikken,82,Norway,nor
Josi Tech as,1,Norway,nor
Jotne EPM Technology AS,17,Norway,nor
K. Lerøy Metallindustri AS,35,Norway,nor
Kitron AS,273,Norway,nor
Kjell A. Østnes AS,10,Norway,nor
Kongsberg Defence & Aerospace AS,1926,Norway,nor
Kongsberg Maritime AS,1725,Norway,nor
Kongsberg Target Systems AS,17,Norway,nor
Kongsberg Digital,241,Norway,nor
Light Structures AS,14,Norway,nor
Lilltech AS,4,Norway,nor
Lilltech Defence AS,1,Norway,nor
Lilaas AS,35,Norway,nor
Malm Orstad AS,108,Norway,nor
Maritime Robotics AS,16,Norway,nor
Merlin Holding AS,1,Norway,nor
Metronor AS,14,Norway,nor
MilDef AS,3,Norway,nor
Nammo AS,757,Norway,nor
NFM Group,487,Norway,nor
NOFAS AS,48,Norway,nor
Norbit Group AS,84,Norway,nor
Nordic Defence & Security AS,5,Norway,nor
Nordic Shelter AS,1,Norway,nor
Nordic Unmanned AS,11,Norway,nor
Nordisk Aviation Products AS,86,Norway,nor
Nordisk Sikkerhet AS,2,Norway,nor
NorLense AS,31,Norway,nor
Norsafe AS,951,Norway,nor
Norse Oilfield Services AS,77,Norway,nor
Norsk Scania AS,1 000,Norway,nor
NORTHROP GRUMMAN Sperry Marine,6,Norway,nor
Norwegian Aviation & Defense Group AS,3,Norway,nor
Norwegian Special Mission AS,37,Norway,nor
Obsima Technology AS,9,Norway,nor
Oskar Pedersen AS,6,Norway,nor
OSWO AS,73,Norway,nor
Patria Helicopters AS,29,Norway,nor
Radionor Communications AS,15,Norway,nor2
RECAB,4,Norway,nor
Rheinmetall Norway AS,117,Norway,nor
Ritek AS,46,Norway,nor
Rohde & Schwarz Norge AS,12,Norway,nor
Rud Pedersen Public Affairs Company,14,Norway,nor
Safety & Security Service AS,5,Norway,nor
SAS Institute,70,Norway,nor
Scanmatic AS,157,Norway,nor
Seal Engineering AS,44,Norway,nor
Sensonor AS,58,Norway,nor
Sharkcage AS,13,Norway,nor
Simpro AS,55,Norway,nor
Sintef-Gruppen,1 299,Norway,nor
SKF Norge AS,28,Norway,nor
Skytec AS,7,Norway,nor
Sopra-Steria AS,945,Norway,nor
Space Norway AS,22,Norway,nor
STADT AS,8,Norway,nor
Syntell AS,1,Norway,nor
Saab Technologies Norway AS,58,Norway,nor
T&G Elektro AS,69,Norway,nor
Tamek AS,19,Norway,nor
TECHNI,35,Norway,nor
Teleplan Globe AS,76,Norway,nor
Thales Norway AS,215,Norway,nor
TINEX AS,5,Norway,nor
Trelleborg Offshore Norway AS - Defence,196,Norway,nor
Tronrud Engineering AS,167,Norway,nor
Tyco Electronics Norge AS,3,Norway,nor
Umoe Mandal AS,118,Norway,nor
UNITECH Offshore AS,5,Norway,nor
Vestmar Production AS,26,Norway,nor
Visual Engineering AS,6,Norway,nor
Våpensmia AS,16,Norway,nor
Webasto Thermo & Comfort Norway,6,Norway,nor
WilNor Governmental Service AS,5,Norway,nor
Wireless Communication as,20,Norway,nor
YKK Norge,6,Norway,nor
